iteration,env_steps,elapsed_time_s,speed_steps_per_s,avg_return,cvar,policy_loss,value_loss,entropy
65,532480,687.4805376529694,774.5382899388907,309.39394850308037,-71.69603221162295,0.0003040016017621383,72.29139187932014,0.935389943420887
66,540672,700.5920059680939,771.7358967761661,196.67395099489744,-71.69603221162295,-0.00036108685890212655,79.52783364057541,0.9352034307084978
67,548864,714.5314340591431,768.1453520973712,183.99821435892284,-77.4935721060665,-0.0008862596150720492,55.18124608695507,1.0263970433734357
68,557056,727.1629881858826,766.0675928923948,357.50144059122306,-68.24864325371455,0.0006343137101794127,83.6552209854126,0.9601115509867668
69,565248,738.9735591411591,764.9096412284841,252.41457926188355,-68.24864325371455,-0.00015841016283957288,61.36050792038441,1.0007640263065696
70,573440,752.44047498703,762.1067965673757,119.04855483372435,-77.25996655666628,-0.001888597740617115,74.92934635281563,0.9418755774386227
71,581632,764.4609913825989,760.8393450502482,242.87840918081758,-77.25996655666628,-0.0009750710851221811,53.857368886470795,0.9983597304672003
72,589824,777.2429382801056,758.866978328772,321.9776855042033,-77.25996655666628,0.0015111707580217626,63.03064550459385,0.9573661955073476
73,598016,790.2281725406647,756.7637054463867,285.9859506818685,-77.25996655666628,-0.001533397844468709,37.20826871693134,0.9833315350115299
74,606208,801.8778541088104,755.9854619924955,256.2591680950252,-77.25996655666628,0.0011085723308497109,49.716891050338745,1.0421369476243854
75,614400,813.9657003879547,754.8229608534646,240.6914369578107,-77.25996655666628,0.00026098262969753705,38.04671771079302,1.0515599194914103
76,622592,826.3447167873383,753.428910903566,266.27341863901705,-77.25996655666628,0.0005457130773720564,33.59931506961584,1.0485771684907377
77,630784,841.4400014877319,749.6482207700185,314.9440328746053,-77.25996655666628,-7.200065738288686e-05,53.31381555646658,0.983805394731462
78,638976,857.5434746742249,745.1237387617495,240.54719450698923,-77.25996655666628,0.0012078223771823104,52.74083027243614,0.9003569176420569
79,647168,870.4527812004089,743.4843267517795,302.61198546758976,-68.24864325371455,0.0005765398236690089,67.60747835040092,0.9986499464139342
80,655360,884.3942174911499,741.0270070050047,211.20915562768852,-67.91891675868253,0.001205013719300041,83.81809565424919,0.9710931349545717
81,663552,897.6089718341827,739.2439478897938,218.15026907910766,-67.91891675868253,-0.00031822087839827873,55.59442022442818,0.9714378202334046
82,671744,909.8803813457489,738.2772656406374,296.4495734102542,-67.91891675868253,0.002605615933134686,34.689875565469265,1.0200909287668765
83,679936,920.5510413646698,738.6184681210394,439.53408222817427,-67.91891675868253,0.00045977358240634203,75.03282718360424,0.8808559076860547
84,688128,931.9362349510193,738.3852823752117,285.4914393872636,-54.803821895565676,-0.0006459817086579278,41.78596157580614,1.0586225958541036
85,696320,945.76309633255,736.2520304505086,431.6401818544305,-54.803821895565676,-0.001766355118888896,80.08129976689816,0.963553692214191
86,704512,958.9756741523743,734.650543271297,300.9745589030075,-54.803821895565676,-0.0012026604017592035,65.33052080869675,1.0022282218560576
87,712704,972.0574536323547,733.1912299389192,523.035106363038,-54.803821895565676,0.0007914058696769644,61.31299479305744,0.8919350057840347
88,720896,985.2964291572571,731.653925323363,282.37091224461506,-54.803821895565676,-7.748066491330974e-05,40.74993999302387,1.0262291175313294
89,729088,997.2744822502136,731.0805730784493,260.56356529793885,-54.803821895565676,-0.002723797164435382,27.174073468893766,1.071331337094307
90,737280,1009.4458782672882,730.3809108275717,320.5287117540097,-43.55911760453196,-4.7543107939418405e-05,57.88033078610897,0.9739799872040749
91,745472,1021.2943317890167,729.9286569956238,184.5634283206996,-51.26557210183807,0.0024191803659050493,47.316309690475464,1.0043242555111647
92,753664,1032.3851172924042,730.0221471388554,281.51002889692677,-54.457613907940434,-0.0028912477937410586,93.53529170155525,1.0237895329482853
93,761856,1044.148208618164,729.643544577113,278.7801555271294,-48.06720447172579,-0.0010018799384852173,75.35014832019806,0.9331224793568254
94,770048,1055.8451898097992,729.3190397909726,302.55336051263487,-48.06720447172579,0.0006601274508284405,58.61369325220585,0.9622698999010026
95,778240,1067.5054094791412,729.0267506744719,377.4737306409936,-48.06720447172579,-0.0009684267643024214,60.49311646819115,0.8803508165292442
96,786432,1078.9280562400818,728.9012417942018,266.593245544821,-48.06720447172579,-0.0011213189754926134,30.759182207286358,1.0418814616277814
