episode,return,length,risk_threshold
137,-53.082451545756754,21,-120.95530589826197
138,-54.0617611630137,21,-120.95530589826197
139,-54.13538493071533,21,-120.95530589826197
140,-54.32763523283581,21,-119.48421379310345
141,-54.051871703885716,21,-119.48421379310345
142,-54.21140697870727,21,-119.48421379310345
143,-54.337267861374876,21,-119.48421379310345
144,-54.04325799817664,21,-119.48421379310345
145,-54.207146164393166,21,-119.48421379310345
146,-54.2093049807936,21,-119.48421379310345
147,-54.3842223225,21,-119.48421379310345
148,-54.108394709895,21,-117.61600862068966
149,-53.548730609050615,21,-117.61600862068966
150,-54.09330310954335,21,-114.59558122577059
151,-54.19966373080352,21,-114.59558122577059
152,-54.15974514103913,21,-114.59558122577059
153,-58.6633268274671,21,-106.60947893495296
154,-54.46312942853298,21,-106.60947893495296
155,-51.127853109502006,21,-106.60947893495296
156,-50.98770122265015,21,-105.84161379310343
157,-54.260970955588874,21,-105.56335172413792
158,-54.524132496890395,21,-105.56335172413792
159,-54.07718942837238,21,-105.56335172413792
160,-54.38881604576962,21,-105.56335172413792
161,-54.31762108429662,21,-105.56335172413792
162,-54.46542131923338,21,-105.56335172413792
163,-54.347185805862885,21,-105.56335172413792
164,-54.27823423382421,21,-105.34691685746895
165,-54.251382790534265,21,-105.34691685746895
166,-105.26400864920755,21,-105.34691685746895
167,-54.336842505088754,21,-105.34691685746895
168,-54.19698168414344,21,-105.34691685746895
169,-53.9902946133496,21,-105.26400864920755
170,-54.4112065065111,21,-105.26400864920755
171,-54.14943711707579,21,-105.26400864920755
172,-53.995494376039716,21,-105.26400864920755
173,-54.19673168522723,21,-105.26400864920755
174,-77.42511965596613,21,-105.26400864920755
175,-54.039366588754035,21,-105.26400864920755
176,-53.92178995076168,21,-105.26400864920755
177,-54.40358887306575,21,-105.26400864920755
178,-54.056906701988325,21,-105.26400864920755
179,-54.12571883425584,21,-105.26400864920755
180,-53.92178995076167,21,-105.26400864920755
181,-65.9159726938112,21,-105.26400864920755
182,-53.94982556061774,21,-105.26400864920755
183,-54.263335971678366,21,-86.96288085169678
184,-54.33515618445561,21,-86.09197978650104
185,-54.1996639841188,21,-86.09197978650104
186,-54.19468961676798,21,-86.09197978650104
187,-53.691456649639456,21,-86.09197978650104
188,-54.19677045443698,21,-86.09197978650104
189,-54.27894476758144,21,-77.42511965596613
190,-53.83248224344459,21,-77.42511965596613
191,-54.17037966180362,21,-77.42511965596613
192,-54.32580141089976,21,-71.13920989419046
193,-54.12611524007571,21,-71.13920989419046
194,-53.90688160889006,21,-67.87110761160994
195,-54.228561173035686,21,-67.87110761160994
196,-54.19717231765857,21,-65.9159726938112
197,-54.12309083293542,21,-58.6633268274671
198,-54.33473558362448,21,-58.6633268274671
199,-54.403115582880865,21,-58.6633268274671
200,-54.40366699647457,21,-58.6633268274671
201,-51.342436343486426,21,-58.6633268274671
202,-54.281574475935244,21,-58.6633268274671
203,-54.194422700104276,21,-58.6633268274671
204,-54.19732618239557,21,-58.6633268274671
205,-54.03466370963077,21,-58.6633268274671
206,-54.14134892552274,21,-58.6633268274671
207,-54.381872979397066,21,-58.6633268274671
208,-54.27780423867512,21,-58.6633268274671
209,-53.994194590769474,21,-58.6633268274671
210,-54.22342692195071,21,-58.6633268274671
211,-54.02503034991051,21,-58.6633268274671
212,-54.06983992335216,21,-58.6633268274671
213,-53.67565637589201,21,-58.6633268274671
214,-53.42096933835068,21,-58.6633268274671
215,-54.066312461508346,21,-58.6633268274671
216,-54.21537225137696,21,-58.6633268274671
217,-53.474149943635176,21,-58.6633268274671
218,-53.76696097663154,21,-58.6633268274671
219,-53.89106647669834,21,-58.6633268274671
220,-53.902105701207596,21,-58.6633268274671
221,-54.236157213138064,21,-58.6633268274671
222,-54.09723596539857,21,-58.6633268274671
223,-53.807594190334065,21,-58.6633268274671
