episode,env_steps,elapsed_time_s,steps_per_s,episode_return,rolling20_return,avg_loss
419,179770,294.75,609.91,304.93,196.27,1.3418
420,180251,295.54,609.90,253.44,194.90,1.3241
421,180492,295.96,609.85,249.80,194.98,1.1300
422,181455,297.50,609.92,209.84,192.70,1.2765
423,182019,298.44,609.90,270.33,192.71,1.2174
424,182484,299.17,609.97,280.58,193.96,1.2699
425,183484,300.79,610.01,124.51,188.80,1.1630
426,184139,301.89,609.95,215.80,201.61,1.2317
427,185139,303.51,610.00,-3.52,194.36,1.1430
428,185667,304.36,610.02,234.95,192.74,1.1732
429,186192,305.21,610.05,194.02,187.29,1.2118
430,186685,306.01,610.06,213.89,184.99,1.0905
431,187517,307.36,610.08,202.58,182.12,1.1272
432,187999,308.14,610.10,175.97,178.68,1.1224
433,188281,308.61,610.10,271.72,181.22,1.1123
434,189281,310.21,610.17,22.64,172.19,1.1397
435,190212,311.72,610.20,231.69,182.58,1.1702
436,190758,312.62,610.19,277.60,193.06,1.0800
437,191030,313.04,610.24,284.50,214.23,1.1511
438,191413,313.66,610.27,237.86,212.66,1.0932
439,191900,314.45,610.26,266.19,210.72,1.1411
440,192258,315.02,610.31,285.14,212.30,1.0871
441,192679,315.75,610.23,245.59,212.09,1.1351
442,193034,316.36,610.17,276.19,215.41,1.2229
443,193523,317.15,610.18,248.84,214.34,1.1952
444,193852,317.69,610.19,274.92,214.05,1.1439
445,194297,318.41,610.21,267.52,221.21,1.0827
446,195297,320.09,610.12,39.66,212.40,1.1174
447,195623,320.63,610.12,258.18,225.48,1.0412
448,195949,321.16,610.13,222.44,224.86,1.0303
449,196067,321.35,610.14,-12.65,214.52,0.9950
450,196547,322.13,610.16,244.67,216.06,0.9840
451,196844,322.61,610.17,281.78,220.02,1.0110
452,197293,323.34,610.18,236.56,223.05,1.0417
453,197817,324.16,610.25,233.42,221.14,1.1572
454,198132,324.67,610.25,285.24,234.27,1.1015
455,198631,325.47,610.28,250.89,235.23,1.0848
456,198861,325.86,610.27,250.61,233.88,1.1455
457,199062,326.18,610.29,273.38,233.32,1.1498
458,199636,327.12,610.28,235.83,233.22,1.2025
459,199748,327.31,610.27,29.64,221.39,1.2837
460,200112,327.90,610.29,239.54,219.11,1.1961
461,200717,328.93,610.21,239.76,218.82,1.1808
462,201023,329.44,610.19,278.87,218.95,1.2016
463,201341,329.96,610.21,299.22,221.47,1.1217
464,202109,331.20,610.24,266.65,221.06,1.0196
465,203109,332.85,610.22,126.51,214.01,1.1182
466,203210,333.00,610.24,-54.50,209.30,0.9931
467,204210,334.68,610.16,121.04,202.44,1.0638
468,204594,335.32,610.15,268.01,204.72,0.9704
469,204931,335.85,610.18,212.90,216.00,0.9868
470,205231,336.35,610.16,253.01,216.42,0.9717
471,205527,336.85,610.14,254.87,215.07,1.1458
472,205815,337.31,610.16,272.81,216.88,0.9933
473,206228,337.97,610.20,253.12,217.87,1.1090
474,206544,338.49,610.19,281.59,217.69,1.0929
475,206747,338.82,610.19,240.24,217.15,1.2989
476,207372,339.87,610.15,265.67,217.91,1.1029
477,208169,341.19,610.13,237.81,216.13,1.0608
478,208458,341.67,610.11,245.21,216.60,1.0967
479,208856,342.33,610.10,288.32,229.53,0.9412
480,209182,342.85,610.12,233.21,229.21,0.9332
481,209580,343.53,610.08,233.11,228.88,1.1579
482,210213,344.60,610.01,182.31,224.05,0.9026
483,210679,345.41,609.95,287.60,223.47,1.1268
484,211057,346.04,609.91,245.64,222.42,1.2069
485,211831,347.31,609.91,209.76,226.58,1.0161
486,212165,347.88,609.88,286.71,243.65,1.1053
